date,maxtemp,mintemp,rain,wind,sun
01-May-21,11.3,-1.9,0,4.8,7.6
02-May-21,12.9,2,0,5.4,7.5
03-May-21,12.5,5.1,10.2,13.6,2.4
04-May-21,10.1,2.6,1.3,18.5,8
05-May-21,10.6,0.3,2.7,8.7,6.4
06-May-21,12,-1.7,0.1,9.9,12.1
07-May-21,11.1,0.6,0,8.5,11.3
08-May-21,17.7,5.4,20.4,11.7,6
09-May-21,14.4,9.1,0,12.5,4.1
10-May-21,15.3,8,3.6,10.8,2.6
11-May-21,14.1,2.6,0,9.9,13
12-May-21,12.3,0.3,1.4,4.8,3.2
13-May-21,14.2,1.9,0,4.6,9.1
14-May-21,14.2,2.6,0,6.5,5.3
15-May-21,11.9,6.3,3.8,7.1,0.7
16-May-21,14.2,2.9,0.1,5.7,8.2
17-May-21,14.8,4.5,0.7,8.2,6.9
18-May-21,14,6,2.7,5.9,8.1
19-May-21,16.5,4.7,0.1,7,10.4
20-May-21,13.7,7.8,10,13.1,0.2
21-May-21,11.2,7.6,6.2,14.8,0
22-May-21,12.6,3.1,0.2,9.6,7
23-May-21,12.9,4,4,8,2.3
24-May-21,14.5,1.3,0.3,11.1,11.1
25-May-21,14.5,5.2,5.1,9,5.7
26-May-21,16.1,4.7,0,6.1,7.8
27-May-21,15.9,7.6,3.2,7.1,7.7
28-May-21,13,10.4,7.4,6.8,0
29-May-21,17.1,8.3,0,4.8,10.4
30-May-21,20.4,5.6,0,5.7,15.2
31-May-21,19.7,5.7,0,7.4,13.9
01-Jun-21,19.6,9.8,0,6.5,11.9
02-Jun-21,17.9,9.7,0,6.4,3.4
03-Jun-21,19.1,9.5,0,9,11.3
04-Jun-21,18.9,9.1,0,7.5,7.3
05-Jun-21,18.1,7.9,0,7,3
06-Jun-21,17.2,7.1,0,5.2,6.6
07-Jun-21,19,7.9,0,5.3,8
08-Jun-21,19.2,11.6,0,8.5,1.7
09-Jun-21,21.3,13.6,0,8,3.6
10-Jun-21,21.6,13.9,0,10.3,5.4
11-Jun-21,18.4,11,0,11.2,4.8
12-Jun-21,20,10.1,0,6.5,1.4
